facility_address,lat,lng,street_address
2875 Welsh Rd,40.06252827,-75.02815042,2875 WELSH RD
595 Tomlinson Rd,40.11400498,-75.02473781,595 TOMLINSON RD
4600 W Girard Ave,39.97303519,-75.21394555,4600 W GIRARD AVE
5898 Lancaster Ave,39.9819205,-75.23899536,5898 LANCASTER AVE
7000 Buist Ave,39.91582887,-75.23629222,7000 BUIST AVE
2401 S 67th St,39.92240519,-75.23524554,2401 S 67TH ST
5735 RISING SUN AVE,40.04215213,-75.10498859,5735 RISING SUN AVE
6501 Limekiln PK,40.05363519,-75.15214199,6501 LIMEKILN PIKE
1700 Lindley AVE,40.0313089,-75.15186686,1700 LINDLEY AVE
9120 ACADEMY RD,40.05349109,-75.00853757,9120 ACADEMY RD
2161 E York ST,39.98115915,-75.12650209,2161 E YORK ST
5800 N 13th ST,40.04115445,-75.14203382,5800 N 13TH ST
401 E Olney AVE,40.03441226,-75.11484442,401 E OLNEY AVE
2000 N 7th ST,39.98246704,-75.14627714,2000 N 7TH ST
6340 WAYNE AVE,40.03674787,-75.189221,6340 WAYNE AVE
6101 N Gratz ST,40.047665,-75.14926127,6101 N GRATZ ST
3544 Fairmount AVE,39.96600484,-75.19493052,3544 FAIRMOUNT AVE
766 N 44th St,39.96670793,-75.21110118,766 N 44TH ST
1400 W Olney AVE,40.03907544,-75.1448134,1400 W OLNEY AVE
